咪咕代理全网通,#genre#
CETV中教1HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226328/_0.smil/1.m3u8?fmt=ts2hls
CETV中教4HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225892/10000100000000060000000000357500_0.smil/1.m3u8?fmt=ts2hls
CGTN英语HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225971/10000100000000060000000000890995_0.smil/1.m3u8?fmt=ts2hls
CGTN纪录HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225972/10000100000000060000000000890994_0.smil/1.m3u8?fmt=ts2hls
CGTN西语HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225973/10000100000000060000000000890993_0.smil/1.m3u8?fmt=ts2hls
CGTN法语HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225974/10000100000000060000000000890992_0.smil/1.m3u8?fmt=ts2hls
CGTN阿语HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225975/10000100000000060000000000890985_0.smil/1.m3u8?fmt=ts2hls
CGTN俄语HD,http://39.136.35.159:80066/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225976/10000100000000060000000000890984_0.smil/1.m3u8?fmt=ts2hls
内蒙古卫视HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/10000100000000060000000000000713_0.smil/1.m3u8?fmt=ts2hls
内蒙古蒙语HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225705/_0.smil/1.m3u8?fmt=ts2hls
湖南卫视4K,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226361/_0.smil/1.m3u8?fmt=ts2hls
湖南卫视HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/10000100000000060000000000373622_0.smil/1.m3u8?fmt=ts2hls
浙江卫视4K,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226338/_0.smil/1.m3u8?fmt=ts2hls
浙江卫视HD,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/10000100000000060000000000373628_0.smil/1.m3u8?fmt=ts2hls
北京卫视4K,http://39.136.35.159:8006/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226322/_0.smil/1.m3u8?fmt=ts2hls
